sigma,lmba,alfa,enlarge_factor,fails,overlap,fps
1.0,0.001,0.05,1.0,110.0,0.415175719506646,370.7507949952493
1.0,0.001,0.05,1.2,109.0,0.3941515272024544,327.74450556871585
1.0,0.001,0.05,1.4,89.0,0.3337075787860029,261.71845213727863
1.0,0.001,0.05,1.6,91.0,0.2682676993286551,195.1120033490783
1.0,0.001,0.05,1.8,103.0,0.200116200946514,168.45341163229594
1.0,0.001,0.05,2.0,124.0,0.1406890271613714,155.86938359536728
1.0,0.001,0.1,1.0,93.0,0.4430097093730862,385.0512521999665
1.0,0.001,0.1,1.2,83.0,0.4138267368931356,348.81061263796124
1.0,0.001,0.1,1.4,91.0,0.3238033159577556,272.7570926687666
1.0,0.001,0.1,1.6,85.0,0.2544680046734178,197.0008698593756
1.0,0.001,0.1,1.8,93.0,0.1996353396786709,206.18310190456415
1.0,0.001,0.1,2.0,111.0,0.1527720147407233,162.84995164485892
1.0,0.001,0.15,1.0,82.0,0.4526056871321484,350.6776155833636
1.0,0.001,0.15,1.2,71.0,0.4084618160664104,315.98112389671024
1.0,0.001,0.15,1.4,81.0,0.3273672017976248,259.58101522278497
1.0,0.001,0.15,1.6,89.0,0.2595860932926953,192.94337857290932
1.0,0.001,0.15,1.8,95.0,0.1910577233186936,193.11362362619963
1.0,0.001,0.15,2.0,115.0,0.1454021284247668,150.94561449039122
1.0,0.001,0.2,1.0,78.0,0.451530663132117,379.39247483196914
1.0,0.001,0.2,1.2,73.0,0.3984833452716746,334.78180178831354
1.0,0.001,0.2,1.4,76.0,0.3273963994133621,272.1868846863712
1.0,0.001,0.2,1.6,88.0,0.2543339568046834,190.10183822028316
1.0,0.001,0.2,1.8,101.0,0.1925231137288635,186.8861000781216
1.0,0.001,0.2,2.0,115.0,0.1391565968531767,150.2599229217838
2.0,0.001,0.05,1.0,96.0,0.4427886060613673,378.9039561817574
2.0,0.001,0.05,1.2,74.0,0.4055253034453119,337.975308888021
2.0,0.001,0.05,1.4,84.0,0.3343059141406403,275.39463405289814
2.0,0.001,0.05,1.6,81.0,0.2595280259802033,201.11748901647803
2.0,0.001,0.05,1.8,99.0,0.1963548189893948,163.40594398733066
2.0,0.001,0.05,2.0,98.0,0.1492152677379934,149.8684607055307
2.0,0.001,0.1,1.0,90.0,0.4654898141684501,366.3601994050248
2.0,0.001,0.1,1.2,77.0,0.4199934792677361,328.4244448938501
2.0,0.001,0.1,1.4,86.0,0.3326582541403495,276.5458229230843
2.0,0.001,0.1,1.6,82.0,0.2514715837685619,193.54626442452863
2.0,0.001,0.1,1.8,89.0,0.1936551655492238,158.1280929814475
2.0,0.001,0.1,2.0,102.0,0.1418091961765776,173.0781661190273
2.0,0.001,0.15,1.0,85.0,0.4624016178646882,420.267349258911
2.0,0.001,0.15,1.2,70.0,0.4371838325415733,386.9643909372264
2.0,0.001,0.15,1.4,79.0,0.3129627189447739,303.52770207680487
2.0,0.001,0.15,1.6,75.0,0.2676385737458485,224.0435395586211
2.0,0.001,0.15,1.8,89.0,0.1887538732969146,204.92234052306677
2.0,0.001,0.15,2.0,99.0,0.1403837712893125,177.05635149038557
2.0,0.001,0.2,1.0,89.0,0.463528555867469,410.7562908786666
2.0,0.001,0.2,1.2,77.0,0.4046645202066861,358.5203810180116
2.0,0.001,0.2,1.4,72.0,0.3474438669998308,321.0788023297314
2.0,0.001,0.2,1.6,77.0,0.2624463464309594,226.52790500276149
2.0,0.001,0.2,1.8,89.0,0.1809601898218796,209.42073868608725
2.0,0.001,0.2,2.0,101.0,0.1441968194495782,175.9839412543855
4.0,0.001,0.05,1.0,102.0,0.4330844199177988,434.3277908689803
4.0,0.001,0.05,1.2,98.0,0.4067504319780026,373.3701846627877
4.0,0.001,0.05,1.4,93.0,0.3103636962694019,286.80773956695515
4.0,0.001,0.05,1.6,87.0,0.2445937228553256,211.8704445619843
4.0,0.001,0.05,1.8,86.0,0.2029932791362042,178.31539045902744
4.0,0.001,0.05,2.0,105.0,0.1429745381126033,168.11004866207338
4.0,0.001,0.1,1.0,102.0,0.4483289858386421,430.6892677766312
4.0,0.001,0.1,1.2,77.0,0.3998636132721201,365.3580965592582
4.0,0.001,0.1,1.4,75.0,0.3350078813426888,303.82584342927146
4.0,0.001,0.1,1.6,80.0,0.2632636305166442,211.27470297392176
4.0,0.001,0.1,1.8,97.0,0.1998116968190071,206.8020316262669
4.0,0.001,0.1,2.0,96.0,0.1393494311796768,177.5413952856519
4.0,0.001,0.15,1.0,95.0,0.4278995537961587,444.2861665302214
4.0,0.001,0.15,1.2,87.0,0.3913000180719674,391.6701883072177
4.0,0.001,0.15,1.4,80.0,0.3279339613176822,307.43584186987977
4.0,0.001,0.15,1.6,86.0,0.2507805025235938,223.20096780706248
4.0,0.001,0.15,1.8,87.0,0.1911984149332006,202.18082894279863
4.0,0.001,0.15,2.0,98.0,0.1328313360338921,165.48595780512983
4.0,0.001,0.2,1.0,95.0,0.4489874636193752,422.6341125341899
4.0,0.001,0.2,1.2,88.0,0.4028298310010843,376.6349326829931
4.0,0.001,0.2,1.4,90.0,0.3114460991160392,280.75604410169655
4.0,0.001,0.2,1.6,80.0,0.2579223428414285,193.34336945166416
4.0,0.001,0.2,1.8,94.0,0.1942407079633418,198.31194667738544
4.0,0.001,0.2,2.0,109.0,0.1447277720146965,180.1066565864852
6.0,0.001,0.05,1.0,116.0,0.4065988699853289,438.39751210212
6.0,0.001,0.05,1.2,108.0,0.3822077621319126,368.9465717658452
6.0,0.001,0.05,1.4,111.0,0.3167265193545961,296.41759386866147
6.0,0.001,0.05,1.6,91.0,0.2516013086574942,204.38037289433464
6.0,0.001,0.05,1.8,100.0,0.1885648073103854,186.9678065660274
6.0,0.001,0.05,2.0,102.0,0.1366913092075367,179.7422715190014
6.0,0.001,0.1,1.0,106.0,0.4056253939837553,433.0596482316873
6.0,0.001,0.1,1.2,103.0,0.3822318893327328,369.3050215330891
6.0,0.001,0.1,1.4,104.0,0.3269277768308307,286.09889477103064
6.0,0.001,0.1,1.6,95.0,0.2507865284934185,206.6156616080497
6.0,0.001,0.1,1.8,108.0,0.1935321251087658,201.00628528163764
6.0,0.001,0.1,2.0,99.0,0.1438765422585179,179.89326763069425
6.0,0.001,0.15,1.0,112.0,0.3949535538678501,428.1889827064506
6.0,0.001,0.15,1.2,105.0,0.3786079556803943,360.35247458465545
